image_id	caption
58658	The screen is a tutorial screen having a large text element located at the top part of the screen.
59376	A search app with a large background image ubicated at the center part.
23112	A gallery app with a large image element placed at the top-left part.
10693	This app is a gallery screen having an image situated at the top-left area of the screen.
13895	The app looks like a gallery app with an image component ubicated at the right area.
13721	The app looks like a menu app with a large image placed at the center area.
53065	A bare screen having an icon element placed at the top-left part.
31002	That app is a list app having a large text button element ubicated at the center part.
51007	The interface is a gallery screen having a large image element situated at the center area of the screen.
6401	A news app with a large image component located at the left area of the screen.
62242	A list app having a large image element placed at the top part of the screen.
33058	A login screen with a large text button component placed at the center part of the screen.
64456	A list screen with a text component placed at the top part.
33579	A tutorial app having a text button element ubicated at the top-left area of the screen.
31630	A list app having a text component placed at the center area.
70943	That app must be a bare screen with a large image element placed at the center part.
8359	The interface is a list screen having a text button element situated at the left part.
21050	This interface looks like an editor screen having a large image located at the center area.
53381	A form app having a text element placed at the top area of the screen.
43948	That app must be a gallery screen with a large image element ubicated at the top part of the screen.
34535	That interface is a tutorial app with a large image element located at the center area.
35472	The interface must be a list app with a text element placed at the bottom part of the screen.
2916	That app looks like a list screen having a text placed at the top part.
59073	A form screen having a text button element placed at the center area of the screen.
14085	The interface looks like a maps app having a large background image component placed at the center part.
10544	That interface must be a settings screen with a large image ubicated at the center area of the screen.
11088	This interface is a settings screen with an icon component ubicated at the top-left part of the screen.
71268	This screen is a list app having a web view component ubicated at the bottom area of the screen.
3381	That interface is a news screen with a large image element ubicated at the center area.
9735	That screenshot looks like a list app with a text component situated at the center area.
12833	The app looks like a gallery screen having a text component placed at the top-left part.
2526	The app looks like a terms app with a large text placed at the center area of the screen.
27594	That screenshot looks like a list screen with a text element situated at the center area of the screen.
28120	The interface looks like a list app having a text located at the top part.
41024	This screen must be a gallery app having a large image element located at the right area.
49191	A modal app with a large text button element situated at the center area.
7470	A modal screen with a large text button element placed at the center area.
19574	A form screen with a text placed at the top part.
7334	The interface must be a gallery screen with a large image component located at the left area of the screen.
56172	A form screen with a text located at the bottom area of the screen.
12954	This app looks like a settings app with a large text button component situated at the top area of the screen.
12294	This screen is a tutorial app with a large image placed at the center part.
48765	That app is a gallery screen with a large image component placed at the left area of the screen.
18558	A tutorial app with a large background image element situated at the center part.
17105	A profile screen with a large image component situated at the top part of the screen.
49831	That interface is unknown.
52366	That app must be an editor app with a text situated at the top area of the screen.
26442	This app must be a terms screen having a large image element located at the top area.
22562	The screenshot looks like a gallery screen having an image component situated at the top area.
68742	This interface is a tutorial app having a large text component placed at the top area.
65183	A gallery app with a large text component ubicated at the top-left part.
9371	That screenshot is unknown.
45525	This screen must be a modal app having a large image element located at the left area.
12775	The screenshot is a list screen having a text button placed at the center part.
3933	That app looks like a profile screen having a large web view ubicated at the center part.
2040	This screen is a settings screen having a large image component placed at the top part.
23622	A mediaplayer screen having a large background image element located at the center part of the screen.
20671	The app must be a tutorial app with a large image element placed at the top part.
40726	This screenshot must be a bare app with a text component situated at the top-left area.
56300	A profile app having a large text element located at the top part of the screen.
5510	That screen is a form screen having a text component ubicated at the top part of the screen.
15449	A terms screen having a large text button element located at the top part.
58270	That screen must be a form screen having a large background image located at the center area.
66542	That screen looks like a form screen having an input located at the top part.
4584	The screen is a news app having a large image element located at the center part of the screen.
8717	The screenshot must be a list app with a text component ubicated at the center part of the screen.
62483	The screen must be a mediaplayer app having a large input situated at the top part of the screen.
15034	A modal app with a large image element ubicated at the top area.
39241	A settings screen having an input component located at the top part.
36973	A bare app with an icon situated at the top-left area.
6011	A profile app having a large image element ubicated at the top part.
6713	This app is a news app having a text element ubicated at the center area of the screen.
6905	That app is a menu screen with an icon component situated at the top-left area.
15979	The screenshot looks like a gallery app having a large image component ubicated at the center area.
46609	A settings screen with an image component located at the top area.
63473	A camera app having a large image element placed at the bottom part of the screen.
63576	That app is a tutorial screen having a large image component situated at the center part of the screen.
53368	The screen is a form app having an input element situated at the top part of the screen.
27733	An editor app having a large input element placed at the center part.
30652	A modal screen with a large image element ubicated at the center part of the screen.
13696	A form app with a text button element ubicated at the top-left area of the screen.
70706	This interface looks like a terms screen with a large text element located at the center area.
61721	A tutorial app with a large image element located at the center area.
71042	A modal screen with a large text component ubicated at the top area of the screen.
16886	A list app having a large image ubicated at the top part.
57946	The screen looks like a settings screen having a text ubicated at the top-left part.
34981	A news app having a large image element placed at the center area of the screen.
38390	This screenshot looks like a terms screen having a large text button element ubicated at the center area of the screen.
27717	This screen looks like a bare screen with a large background image element ubicated at the center part of the screen.
47338	A login app with a large background image element ubicated at the center part.
15891	A tutorial screen having a large image located at the top part.
36918	The interface looks like a list screen with a text located at the top part of the screen.
34223	This screen must be a login app with a text button element placed at the center part.
12617	A profile screen having a large image component ubicated at the top area.
59417	This interface must be a profile screen having a large image component located at the top area.
72186	A login app having a large image element situated at the top area.
29992	A menu app with a text placed at the top area of the screen.
54183	A dialer screen having a text button placed at the right part.
10498	A gallery app with a large image component ubicated at the center area.
50384	This app is a tutorial app having a text ubicated at the center area.
54689	The interface type is unknown.
58081	That screen is a bare screen having an icon component situated at the top-right area.
39096	The screen looks like a settings app having a text element ubicated at the top part of the screen.
17587	A news app with a large image element ubicated at the center part of the screen.
62574	That app looks like a settings app having a text component located at the center area.
46309	That interface looks like a settings app having a text placed at the top area of the screen.
10128	This screenshot looks like a list screen with a text element placed at the center part.
64005	A login app with a large image component located at the center part of the screen.
58910	A list screen with a text button component situated at the left area.
22143	That screen looks like a login screen having a large background image component placed at the center part.
66309	A menu app having a large image situated at the center part of the screen.
64102	That app must be a terms screen with an image component placed at the left part of the screen.
25010	A list screen with a text located at the center part.
26788	A list screen with an image located at the top-left part.
65259	This screen is a chat screen having a large text component placed at the center part of the screen.
24141	That screen is a tutorial app having a text button placed at the bottom part of the screen.
3258	The app must be a settings screen with a text element situated at the center area of the screen.
2128	The app looks like a settings app with a text button element located at the bottom area of the screen.
44150	A gallery screen with a large image component situated at the bottom-left area.
36410	A bare app having an icon element ubicated at the top-left area of the screen.
24765	This screen is a login app with a large input component ubicated at the center part.
10214	The interface looks like a login screen with a text placed at the top part.
50769	A login screen with a text button ubicated at the top area.
12176	A login screen with a large background image element situated at the center area.
64395	That image is unknown.
66033	A gallery screen with an image located at the left area.
2561	That screenshot looks like a gallery screen with a text component located at the center area of the screen.
39729	That screen must be a camera app having an image component placed at the top part of the screen.
10183	This image is unknown.
14143	A login app having a large background image component ubicated at the center part.
43431	That screen looks like a gallery app having a large image element located at the top-left part of the screen.
14435	A tutorial screen with a large image element ubicated at the center part of the screen.
11746	A mediaplayer app with a large image placed at the center area of the screen.
